"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","DELRO","FIVE","ZDC","2019/02/28","N","DELRO.DELRO5","IAD"
"2025/11/27","DINGO","SIX","ZAB","2023/11/30","N","DINGO.DINGO6","TUS"
"2025/11/27","DIRBY","TWO","ZLA","2024/12/26","Y","DIRBY.DIRBY2","LAX"
"2025/11/27","DIRTT","TWO","ZKC","2017/03/02","Y","DIRTT.DIRTT2","SUS"
"2025/11/27","DIXEE","THREE","ZKC","2017/03/02","Y","DIXEE.DIXEE3","BLV CPS"
"2025/11/27","CABBY","TWO","ZFW","2015/06/25","Y","DODJE.CABBY2","DFW"
"2025/11/27","DODJE","SIX","ZFW","2020/05/21","N","DODJE.DODJE6","AFW DTO FTW FWS GKY GPM JWY LNC LUD NFW RBD"
"2025/11/27","FORNY","THREE","ZFW","2021/06/17","Y","DODJE.FORNY3","DFW"
"2025/11/27","REEKO","THREE","ZFW","2016/05/26","Y","DODJE.REEKO3","50F AFW CPT DTO FTW FWS GKY GPM JWY LNC LUD NFW RBD WEA"
"2025/11/27","DOOBI","THREE","ZHU","2025/06/12","Y","DOOBI.DOOBI3","IAH"
"2025/11/27","SKNRD","FIVE","ZHU","2025/06/12","Y","DOOBI.SKNRD5","IAH"
"2025/11/27","PHLBO","FOUR","ZNY","2023/04/20","Y","DQO.PHLBO4","EWR"
"2025/11/27","DRONE","TWO","ZDC","2018/05/24","N","DRONE.DRONE2","CPK FAF LFI NGU ORF PHF PVG"
"2025/11/27","DSERT","TWO","ZAB","2014/11/13","Y","DSERT.DSERT2","CHD DVT FFZ GEU GYR IWA PHX SDL"
"2025/11/27","DSNEE","SIX","ZLA","2024/09/05","Y","DSNEE.DSNEE6","LGB SNA"
"2025/11/27","HAREI","ONE","ZDV","2025/04/17","Y","DUMBR.HAREI1","ASE RIL"
"2025/11/27","DUNNN","SIX","ZDV","2025/04/17","Y","DUNNN.DUNNN6","APA BJC"
"2025/11/27","DUUUK","FOUR","ZHU","2025/08/07","N","DUUUK.DUUUK4","IAH"
"2025/11/27","DVALL","FOUR","ZMA","2024/09/05","N","DVALL.DVALL4","FLL FXE HST MIA OPF PMP TMB"
"2025/11/27","DXEEE","THREE","ZHU","2022/07/14","Y","DXEEE.DXEEE3","AUS"
"2025/11/27","ALWYS","THREE","ZOA","2024/07/11","Y","DYAMD.ALWYS3","SFO"
